x,y
691.8357543945312,242.81065368652344
707.7798461914062,241.12313842773438
723.745361328125,239.6529998779297
739.7310791015625,238.42198181152344
755.7352294921875,237.45985412597656
771.7545166015625,236.79873657226562
787.7843017578125,236.4837646484375
803.8168334960938,236.5679473876953
819.8399047851562,237.1199951171875
835.83349609375,238.2322998046875
851.7638549804688,240.0319366455078
867.5709838867188,242.6995391845703
883.1400756835938,246.50929260253906
898.2308959960938,251.8944854736328
912.2770385742188,259.5708312988281
923.806884765625,270.6001892089844
929.6707153320312,285.33905029296875
927.8721923828125,301.14031982421875
920.6970825195312,315.4237060546875
910.6222534179688,327.8714904785156
898.8878173828125,338.78350830078125
886.08984375,348.43243408203125
872.5466918945312,357.0073547363281
858.4456176757812,364.63201904296875
843.907958984375,371.3883361816406
829.0177001953125,377.32855224609375
813.837890625,382.484375
798.4185180664062,386.8724060058594
782.8189697265625,390.5729675292969
767.1448364257812,393.94647216796875
751.41796875,397.0649719238281
735.6472778320312,399.9539794921875
719.8397216796875,402.6337890625
704.0012817382812,405.12493896484375
688.1363525390625,407.4414367675781
672.2486572265625,409.5965270996094
656.3412475585938,411.60076904296875
640.416748046875,413.46466064453125
624.4774169921875,415.1969909667969
608.5250244140625,416.8052673339844
592.561279296875,418.2958984375
576.5874633789062,419.6744079589844
560.6046142578125,420.94488525390625
544.6139526367188,422.1125793457031
528.6163940429688,423.18048095703125
512.6126098632812,424.15093994140625
496.6031494140625,425.0241394042969
480.5889892578125,425.8050231933594
464.5704345703125,426.48980712890625
448.54791259765625,427.07537841796875
432.5219421386719,427.5575256347656
416.4928283691406,427.9176330566406
400.50823974609375,427.2162170410156
385.66632080078125,421.58856201171875
379.83306884765625,407.4383544921875
385.2349853515625,392.4714050292969
394.9825439453125,379.80120849609375
409.3502197265625,373.18597412109375
425.2667236328125,372.9673156738281
440.3221740722656,378.3146057128906
453.7253112792969,387.0682067871094
465.42523193359375,398.00286865234375
470.4830322265625,412.64501953125
465.0556945800781,427.6004638671875
455.54010009765625,440.4746398925781
444.2230224609375,451.819091796875
431.8143310546875,461.96392822265625
418.5830383300781,471.0108642578125
404.6150207519531,478.8702697753906
389.8778991699219,485.1564636230469
